Stars,Title,PUBCHEM_CONFORMER_RMSD,docking score,glide emodel,glide gscore
,ZINC59060633,,-4.617,-63.378,-4.617
,ZINC63239987,,-4.614,-52.343,-4.614
,ZINC63239987,,-4.614,-52.343,-4.614
,ZINC21081422,,-4.612,-49.864,-4.668
,ZINC91063333,,-4.611,-57.925,-5.043
,ZINC94355541,,-4.608,-38.57,-4.632
,ZINC00858948,,-4.607,-52.54,-4.607
,ZINC63205465,,-4.607,-38.849,-4.611
,ZINC21076887,,-4.607,-55.337,-4.663
,ZINC59081100,,-4.606,-48.334,-4.606
,ZINC16393511,,-4.604,-58.309,-4.616
,ZINC80031071,,-4.602,-53.185,-4.602
,ZINC33492571,,-4.587,-51.219,-4.587
,ZINC90551636,,-4.584,-54.249,-4.598
,ZINC07260260,,-4.581,-45.575,-4.582
,ZINC34637258,,-4.581,-54.325,-4.598
,ZINC63240014,,-4.579,-54.747,-4.579
,ZINC63240014,,-4.579,-54.747,-4.579
,ZINC95008859,,-4.573,-39.443,-4.573
,ZINC95008859,,-4.573,-39.443,-4.573
,ZINC94356389,,-4.571,-43.64,-4.571
,ZINC31745929,,-4.57,-44.198,-4.626
,ZINC90551807,,-4.567,-47.169,-4.839
,ZINC04814975,,-4.566,-52.108,-4.566
,ZINC33694603,,-4.566,-47.245,-4.577
,ZINC04686379,,-4.559,-42.46,-4.559
,ZINC63240010,,-4.558,-52.474,-4.558
,ZINC13601240,,-4.55,-53.669,-4.55
,ZINC13601240,,-4.55,-53.669,-4.55
,ZINC13601246,,-4.55,-53.669,-4.55
,ZINC13601246,,-4.55,-53.669,-4.55
,ZINC20494282,,-4.55,-49.591,-4.55
,ZINC20494282,,-4.55,-49.591,-4.55
,ZINC21125100,,-4.549,-55.264,-4.549
,ZINC72117910,,-4.548,-56.555,-4.552
,ZINC72117910,,-4.548,-56.555,-4.552
,ZINC94355763,,-4.546,-40.495,-4.957
,ZINC94355763,,-4.546,-40.495,-4.957
,ZINC64097986,,-4.546,-55.047,-4.547
,ZINC15658693,,-4.545,-47.471,-4.545
,ZINC20906616,,-4.542,-59.622,-6.123
,ZINC73523751,,-4.539,-43.907,-4.539
,ZINC06285209,,-4.539,-42.797,-4.539
,ZINC21075577,,-4.537,-60.748,-4.71
,ZINC71797729,,-4.537,-56.811,-4.537
,ZINC71797729,,-4.537,-56.811,-4.537
,ZINC71797729,,-4.537,-56.811,-4.537
,ZINC02156322,,-4.533,-58.778,-4.533
,ZINC93834500,,-4.533,-44.998,-4.758
,ZINC69158043,,-4.533,-47.617,-4.537
,ZINC33144421,,-4.532,-57.719,-4.532
,ZINC00840348,,-4.532,-40.086,-4.533
,ZINC29543776,,-4.53,-45.015,-4.55
,ZINC05864501,,-4.529,-45.15,-4.529
,ZINC85346720,,-4.527,-43.259,-4.527
,ZINC15700540,,-4.526,-42.665,-4.526
,ZINC15700540,,-4.526,-42.665,-4.526
,ZINC06315866,,-4.521,-51.987,-4.528
,ZINC09342199,,-4.521,-44.873,-4.521
,ZINC21077904,,-4.519,-50.774,-4.575
,ZINC38492053,,-4.511,-40.002,-4.511
,ZINC64028645,,-4.51,-44.745,-4.522
,ZINC64028645,,-4.51,-44.745,-4.522
,ZINC42046291,,-4.506,-49.1,-4.511
,ZINC42046291,,-4.506,-49.1,-4.511
,ZINC63581862,,-4.502,-58.063,-5.081
,ZINC39978421,,-4.496,-45.066,-4.506
,ZINC16431396,,-4.496,-53.338,-5.012
,ZINC00513290,,-4.489,-41.362,-4.615
,ZINC03491313,,-4.489,-61.048,-4.489
,ZINC39715710,,-4.482,-61.03,-4.99
,ZINC81766072,,-4.481,-37.634,-4.481
,ZINC27551425,,-4.48,-54.102,-4.48
,ZINC00834561,,-4.48,-46.562,-4.48
,ZINC21036658,,-4.478,-53.091,-4.534
,ZINC27571498,,-4.478,-36.126,-4.558
,ZINC27342571,,-4.475,-49.142,-4.593
,ZINC47355088,,-4.475,-49.652,-4.475
,ZINC63119327,,-4.474,-47.848,-4.474
,ZINC06425562,,-4.47,-41.813,-4.482
,ZINC46672157,,-4.467,-45.552,-4.471
,ZINC46672157,,-4.467,-45.552,-4.471
,ZINC02143420,,-4.466,-58.281,-4.466
,ZINC02143420,,-4.466,-58.281,-4.466
,ZINC08763467,,-4.463,-64.553,-4.463
,ZINC94772024,,-4.457,-40.057,-4.756
,ZINC04086063,,-4.455,-44.845,-4.497
,ZINC04086063,,-4.455,-44.845,-4.497
,ZINC94355760,,-4.454,-40.665,-4.456
,ZINC94355760,,-4.454,-40.665,-4.456
,ZINC63239983,,-4.454,-51.654,-4.454
,ZINC63239983,,-4.454,-51.654,-4.454
,ZINC02826040,,-4.452,-47.406,-4.452
,ZINC02826040,,-4.452,-47.406,-4.452
