Stars,Title,PUBCHEM_PHARMACOPHORE_FEATURES,docking score,glide emodel,glide gscore,Formula
,ZINC92121176,,-4.681,-39.29,-4.806,
,ZINC92121176,,-4.681,-39.29,-4.806,
,ZINC92126212,,-4.676,-48.949,-5.41,
,ZINC92124109,,-4.673,-39.948,-4.848,
,ZINC92107579,,-4.66,-47.738,-4.796,
,ZINC72400631,,-4.646,-78.778,-6.185,
,ZINC72400631,,-4.646,-78.778,-6.185,
,ZINC72400631,,-4.646,-78.778,-6.185,
,ZINC72400631,,-4.646,-78.778,-6.185,
,ZINC92123608,,-4.642,-42.519,-4.83,
,ZINC92123803,,-4.64,-49.975,-4.967,
,ZINC92123803,,-4.64,-49.975,-4.967,
,ZINC92122089,,-4.627,-51.896,-4.798,
,ZINC92126008,,-4.62,-44.203,-4.809,
,ZINC77270907,,-4.618,-99.331,-6.952,
,ZINC77270907,,-4.618,-99.331,-6.952,
,ZINC77270907,,-4.618,-99.331,-6.952,
,ZINC77270907,,-4.618,-99.331,-6.952,
,ZINC77270907,,-4.618,-99.331,-6.952,
,ZINC77270907,,-4.618,-99.331,-6.952,
,ZINC92123663,,-4.615,-41.956,-4.754,
,ZINC77291604,,-4.61,-115.736,-6.749,
,ZINC77291604,,-4.61,-115.736,-6.749,
,ZINC92108284,,-4.598,-55.049,-4.736,
,ZINC92108284,,-4.598,-55.049,-4.736,
,ZINC77312540,,-4.592,-81.633,-5.658,
,ZINC92121613,,-4.591,-49.348,-4.827,
,ZINC92126954,,-4.587,-47.625,-5.213,
,ZINC92126954,,-4.587,-47.625,-5.213,
,ZINC77319963,,-4.578,-82.109,-5.831,
,ZINC77319963,,-4.578,-82.109,-5.831,
,ZINC77319963,,-4.578,-82.109,-5.831,
,ZINC92123225,,-4.574,-41.899,-4.716,
,ZINC92124241,,-4.564,-55.713,-4.978,
,ZINC92126444,,-4.562,-44.071,-4.697,
,ZINC92126444,,-4.562,-44.071,-4.697,
,ZINC72400631,,-4.561,-86.338,-6.048,
,ZINC72400631,,-4.561,-86.338,-6.048,
,ZINC72400631,,-4.561,-86.338,-6.048,
,ZINC72400631,,-4.561,-86.338,-6.048,
,ZINC92125967,,-4.559,-41.575,-4.701,
,ZINC92125967,,-4.559,-41.575,-4.701,
,ZINC92126132,,-4.557,-43.956,-4.709,
,ZINC92126132,,-4.557,-43.956,-4.709,
,ZINC92123889,,-4.557,-40.29,-4.728,
,ZINC92119875,,-4.547,-46.327,-4.695,
,ZINC72400628,,-4.538,-76.044,-6.025,
,ZINC38139393,,-4.537,-72.009,-6.171,
,ZINC92121419,,-4.536,-46.005,-4.696,
,ZINC73339551,,-4.533,-54.356,-4.928,
,ZINC67473434,,-4.531,-52.214,-4.679,
,ZINC67473434,,-4.531,-52.214,-4.679,
,ZINC92126253,,-4.528,-36.775,-4.657,
,ZINC92125777,,-4.524,-31.613,-4.669,
,ZINC92125777,,-4.524,-31.613,-4.669,
,ZINC92121575,,-4.52,-51.426,-4.706,
,ZINC72400631,,-4.519,-78.979,-5.816,
,ZINC72400631,,-4.519,-78.979,-5.816,
,ZINC72400631,,-4.519,-78.979,-5.816,
,ZINC72400631,,-4.519,-78.979,-5.816,
,ZINC92124356,,-4.513,-46.942,-5.138,
,ZINC92103910,,-4.506,-32.182,-4.783,
,ZINC92124121,,-4.495,-38.268,-4.616,
,ZINC92120270,,-4.495,-58.335,-5.862,
,ZINC92120270,,-4.495,-58.335,-5.862,
,ZINC92123841,,-4.494,-40.612,-4.621,
,ZINC92124160,,-4.491,-49.885,-4.808,
,ZINC92124160,,-4.491,-49.885,-4.808,
,ZINC72996934,,-4.49,-49.509,-4.885,
,ZINC77286909,,-4.49,-60.795,-5.961,
,ZINC77286909,,-4.49,-60.795,-5.961,
,ZINC00003048,,-4.49,-38.445,-4.49,
,ZINC92120092,,-4.482,-47.548,-4.634,
,ZINC92123053,,-4.482,-44.925,-4.631,
,ZINC92123053,,-4.482,-44.925,-4.631,
,ZINC92124160,,-4.481,-58.308,-5.409,
,ZINC92124160,,-4.481,-58.308,-5.409,
,ZINC92124363,,-4.481,-40.4,-4.628,
,ZINC92124363,,-4.481,-40.4,-4.628,
,ZINC92121283,,-4.48,-48.819,-5.269,
,ZINC92121283,,-4.48,-48.819,-5.269,
,ZINC92123587,,-4.477,-45.891,-5.216,
,ZINC92123587,,-4.477,-45.891,-5.216,
,ZINC77273272,,-4.47,-78.565,-5.978,
,ZINC77273272,,-4.47,-78.565,-5.978,
,ZINC77273272,,-4.47,-78.565,-5.978,
,ZINC77273272,,-4.47,-78.565,-5.978,
,ZINC77273272,,-4.47,-78.565,-5.978,
,ZINC77273272,,-4.47,-78.565,-5.978,
,ZINC77273272,,-4.47,-78.565,-5.978,
,ZINC77273272,,-4.47,-78.565,-5.978,
,ZINC92124564,,-4.469,-43.191,-5.37,
,ZINC83251284,,-4.46,-40.259,-4.46,
,ZINC92122768,,-4.458,-39.756,-4.608,
,ZINC92122768,,-4.458,-39.756,-4.608,
,ZINC92125289,,-4.458,-42.044,-4.574,
,ZINC67641945,,-4.452,-42.792,-4.588,
,ZINC67641945,,-4.452,-42.792,-4.588,
,ZINC92122849,,-4.452,-44.745,-4.602,
,ZINC92122849,,-4.452,-44.745,-4.602,
,ZINC67803476,,-4.451,-47.588,-4.66,
,ZINC92123587,,-4.441,-43.738,-4.887,
,ZINC92123587,,-4.441,-43.738,-4.887,
,ZINC67727365,,-4.438,-42.825,-4.611,
,ZINC92122098,,-4.431,-50.752,-4.604,
,ZINC92124243,,-4.42,-57.776,-4.748,
,ZINC92120309,,-4.417,-43.548,-4.565,
,ZINC92120309,,-4.417,-43.548,-4.565,
,ZINC77273277,,-4.416,-81.724,-5.924,
,ZINC92121283,,-4.412,-49.979,-4.618,
,ZINC92121283,,-4.412,-49.979,-4.618,
,ZINC92122931,,-4.412,-49.255,-4.587,
,ZINC72400629,,-4.402,-69.03,-5.97,
,ZINC72400629,,-4.402,-69.03,-5.97,
,ZINC72400629,,-4.402,-69.03,-5.97,
,ZINC72400629,,-4.402,-69.03,-5.97,
,ZINC72400629,,-4.402,-69.03,-5.97,
,ZINC92121659,,-4.393,-50.773,-5.42,
