Stars,Title,docking score,glide emodel,glide gscore
,MvfR_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000 - prepared,,,
,ZINC64002763,-5.108,-43.162,-5.108
,ZINC64002763,-5.108,-43.162,-5.108
,ZINC91337157,-5.107,-52.635,-5.107
,ZINC91401542,-5.106,-55.757,-5.106
,ZINC91403910,-5.106,-56.178,-5.106
,ZINC63493915,-5.104,-53.164,-5.104
,ZINC63493915,-5.104,-53.164,-5.104
,ZINC91371862,-5.1,-46.592,-5.1
,ZINC91371862,-5.1,-46.592,-5.1
,ZINC84341080,-5.098,-44.119,-5.098
,ZINC84341080,-5.098,-44.119,-5.098
,ZINC21084195,-5.096,-62.459,-5.096
,ZINC05613346,-5.094,-48.548,-5.094
,ZINC93351920,-5.094,-42.996,-5.094
,ZINC91404989,-5.071,-46.915,-5.071
,ZINC91345065,-5.059,-49.249,-5.059
,ZINC91403498,-5.057,-53.221,-5.057
,ZINC91403498,-5.057,-53.221,-5.057
,ZINC39796057,-5.05,-50.993,-5.05
,ZINC93353186,-5.05,-48.722,-5.05
,ZINC81016494,-5.049,-60.939,-5.049
,ZINC91335851,-5.048,-52.691,-5.048
,ZINC78685749,-5.046,-44.903,-5.046
,ZINC78685749,-5.046,-44.903,-5.046
,ZINC91344696,-5.046,-48.541,-5.046
,ZINC91344696,-5.046,-48.541,-5.046
,ZINC91344696,-5.046,-48.541,-5.046
,ZINC09421371,-5.043,-47.012,-5.043
,ZINC72436582,-5.043,-46.767,-5.043
,ZINC17164709,-5.038,-46.362,-5.038
,ZINC91348090,-5.037,-49.339,-5.037
,ZINC63832144,-5.037,-52.577,-5.037
,ZINC63832144,-5.037,-52.577,-5.037
,ZINC91244516,-5.035,-46.075,-5.035
,ZINC91244516,-5.035,-46.075,-5.035
,ZINC84341083,-5.034,-44.92,-5.034
,ZINC91338287,-5.031,-49.048,-5.031
,ZINC21084199,-5.023,-65.906,-5.023
,ZINC91345254,-5.022,-47.319,-5.022
,ZINC91249039,-5.012,-49.785,-5.012
,ZINC66931542,-5.006,-46.301,-5.006
,ZINC91345066,-5.006,-48.185,-5.006
,ZINC75583967,-5.003,-48.103,-5.003
,ZINC91250340,-5.002,-49.751,-5.002
,ZINC91337797,-4.997,-48.001,-4.997
,ZINC91337797,-4.997,-48.001,-4.997
,ZINC63832131,-4.99,-54.195,-4.99
,ZINC63832131,-4.99,-54.195,-4.99
,ZINC63832131,-4.99,-54.195,-4.99
,ZINC89322655,-4.99,-57.682,-4.99
,ZINC89322655,-4.99,-57.682,-4.99
,ZINC63279801,-4.98,-50.54,-4.98
,ZINC91407887,-4.979,-50.785,-4.979
,ZINC87360558,-4.974,-37.42,-4.974
,ZINC91333769,-4.965,-51.221,-4.965
,ZINC91333769,-4.965,-51.221,-4.965
,ZINC19566540,-4.96,-60.557,-4.96
,ZINC93351952,-4.957,-48.71,-4.957
,ZINC93351952,-4.957,-48.71,-4.957
,ZINC91441306,-4.956,-43.699,-4.956
,ZINC91441306,-4.956,-43.699,-4.956
,ZINC91441306,-4.956,-43.699,-4.956
,ZINC91441306,-4.956,-43.699,-4.956
,ZINC94949034,-4.956,-52.356,-4.956
,ZINC93352236,-4.949,-52.193,-4.949
,ZINC93352236,-4.949,-52.193,-4.949
,ZINC09635045,-4.943,-54.465,-4.943
,ZINC95471985,-4.937,-46.673,-4.937
,ZINC93352208,-4.93,-46.816,-4.93
,ZINC93352208,-4.93,-46.816,-4.93
,ZINC93352066,-4.923,-50.001,-4.923
,ZINC93352066,-4.923,-50.001,-4.923
,ZINC74059150,-4.918,-44.324,-4.918
,ZINC74059150,-4.918,-44.324,-4.918
,ZINC95417769,-4.911,-42.35,-4.911
,ZINC05613351,-4.907,-49.698,-4.907
,ZINC91307085,-4.907,-52.061,-4.907
,ZINC63386584,-4.902,-53.114,-4.902
,ZINC63386584,-4.902,-53.114,-4.902
,ZINC35454583,-4.896,-50.486,-4.896
,ZINC89806786,-4.892,-50.854,-4.892
,ZINC01758455,-4.891,-38.555,-4.891
,ZINC95367318,-4.89,-48.557,-4.89
,ZINC91338031,-4.89,-50.549,-4.89
,ZINC91337468,-4.888,-48.253,-4.888
,ZINC93352711,-4.886,-45.489,-4.886
,ZINC93352711,-4.886,-45.489,-4.886
,ZINC91338029,-4.879,-50.569,-4.879
,ZINC91338029,-4.879,-50.569,-4.879
,ZINC04954881,-4.873,-45.481,-4.873
,ZINC04954881,-4.873,-45.481,-4.873
,ZINC91341452,-4.873,-56.46,-4.873
,ZINC91341452,-4.873,-56.46,-4.873
,ZINC91341452,-4.873,-56.46,-4.873
,ZINC91341452,-4.873,-56.46,-4.873
,ZINC74059148,-4.869,-44.046,-4.869
,ZINC91346861,-4.865,-47.23,-4.865
