Stars,Title,docking score,glide emodel,glide gscore,Formula
,ZINC04819671,-3.96,-51.043,-4.233,
,ZINC64580538,-3.959,-38.334,-4.033,
,ZINC64580538,-3.959,-38.334,-4.033,
,ZINC22010117,-3.948,-48.46,-3.948,
,ZINC22010117,-3.948,-48.46,-3.948,
,ZINC22010117,-3.948,-48.46,-3.948,
,ZINC22010117,-3.948,-48.46,-3.948,
,ZINC02752691,-3.939,-51.086,-3.939,
,ZINC02752691,-3.939,-51.086,-3.939,
,ZINC02752691,-3.939,-51.086,-3.939,
,ZINC35397422,-3.936,-41.738,-3.936,
,ZINC35397422,-3.936,-41.738,-3.936,
,ZINC16925400,-3.935,-46.625,-3.936,
,ZINC35397583,-3.924,-35.802,-3.925,
,ZINC35397583,-3.924,-35.802,-3.925,
,ZINC35397323,-3.912,-41.947,-3.932,
,ZINC35397323,-3.912,-41.947,-3.932,
,ZINC02891110,-3.912,-40.512,-3.914,
,ZINC58009138,-3.909,-42.975,-4.002,
,ZINC58009138,-3.909,-42.975,-4.002,
,ZINC16924369,-3.906,-42.595,-3.906,
,ZINC16924369,-3.906,-42.595,-3.906,
,ZINC01445186,-3.903,-46.607,-4.432,
,ZINC64982828,-3.897,-45.395,-3.897,
,ZINC14025727,-3.89,-49.259,-3.89,
,ZINC14025727,-3.89,-49.259,-3.89,
,ZINC16924978,-3.889,-46.965,-3.889,
,ZINC77285466,-3.884,-48.144,-3.884,
,ZINC77285466,-3.884,-48.144,-3.884,
,ZINC77285466,-3.884,-48.144,-3.884,
,ZINC77285466,-3.884,-48.144,-3.884,
,ZINC35397324,-3.879,-35.312,-3.922,
,ZINC35397324,-3.879,-35.312,-3.922,
,ZINC36635225,-3.879,-46.561,-3.88,
,ZINC35401887,-3.878,-45.691,-3.882,
,ZINC33253646,-3.878,-47.223,-4.319,
,ZINC33253646,-3.878,-47.223,-4.319,
,ZINC35397337,-3.874,-41.823,-3.907,
,ZINC35397337,-3.874,-41.823,-3.907,
,ZINC64580536,-3.872,-44.282,-3.944,
,ZINC64580536,-3.872,-44.282,-3.944,
,ZINC07062272,-3.866,-36.333,-3.868,
,ZINC39308907,-3.863,-46.802,-3.868,
,ZINC39308907,-3.863,-46.802,-3.868,
,ZINC39308907,-3.863,-46.802,-3.868,
,ZINC39308907,-3.863,-46.802,-3.868,
,ZINC35397326,-3.861,-40.634,-3.894,
,ZINC35397326,-3.861,-40.634,-3.894,
,ZINC89517222,-3.855,-46.402,-4.066,
,ZINC89517222,-3.855,-46.402,-4.066,
,ZINC35397444,-3.852,-34.282,-3.853,
,ZINC35397444,-3.852,-34.282,-3.853,
,ZINC35188436,-3.849,-50.408,-3.849,
,ZINC64580560,-3.845,-47.724,-3.945,
,ZINC64580560,-3.845,-47.724,-3.945,
,ZINC95101078,-3.833,-69.984,-5.617,
,ZINC95101078,-3.833,-69.984,-5.617,
,ZINC72937776,-3.826,-42.688,-3.85,
,ZINC72937776,-3.826,-42.688,-3.85,
,ZINC72937776,-3.826,-42.688,-3.85,
,ZINC92027280,-3.819,-32.563,-3.819,
,ZINC35397374,-3.818,-35.023,-3.819,
,ZINC35397374,-3.818,-35.023,-3.819,
,ZINC35397446,-3.815,-46.282,-3.815,
,ZINC35397446,-3.815,-46.282,-3.815,
,ZINC16925071,-3.793,-45.14,-3.794,
,ZINC32962199,-3.792,-45.275,-4.173,
,ZINC32962199,-3.792,-45.275,-4.173,
,ZINC13001874,-3.792,-60.293,-5.055,
,ZINC13001874,-3.792,-60.293,-5.055,
,ZINC13001874,-3.792,-60.293,-5.055,
,ZINC13001874,-3.792,-60.293,-5.055,
,ZINC68254827,-3.787,-34.51,-3.812,
,ZINC68254827,-3.787,-34.51,-3.812,
,ZINC04215263,-3.786,-42.976,-3.786,
,ZINC04215263,-3.786,-42.976,-3.786,
,ZINC04215263,-3.786,-42.976,-3.786,
,ZINC04215263,-3.786,-42.976,-3.786,
,ZINC04215263,-3.786,-42.976,-3.786,
,ZINC04215263,-3.786,-42.976,-3.786,
,ZINC04215263,-3.786,-42.976,-3.786,
,ZINC04215263,-3.786,-42.976,-3.786,
,ZINC71789555,-3.783,-42.617,-3.783,
,ZINC71789555,-3.783,-42.617,-3.783,
,ZINC71789555,-3.783,-42.617,-3.783,
,ZINC71789555,-3.783,-42.617,-3.783,
,ZINC16922937,-3.78,-57.727,-4.497,
,ZINC14025722,-3.776,-50.118,-3.776,
,ZINC84460617,-3.773,-38.132,-3.773,
,ZINC64843261,-3.771,-39.117,-3.811,
,ZINC64843261,-3.771,-39.117,-3.811,
,ZINC43736212,-3.77,-47.654,-3.77,
,ZINC43736212,-3.77,-47.654,-3.77,
,ZINC16923006,-3.769,-41.274,-3.769,
,ZINC94617434,-3.767,-30.817,-3.768,
,ZINC64580588,-3.766,-44.663,-3.883,
,ZINC64580588,-3.766,-44.663,-3.883,
,ZINC35397338,-3.765,-37.276,-3.777,
,ZINC35397338,-3.765,-37.276,-3.777,
,ZINC39927087,-3.761,-39.437,-4.172,
,ZINC11616979,-3.759,-47.9,-3.759,
,ZINC11616979,-3.759,-47.9,-3.759,
,ZINC13735618,-3.758,-47.005,-3.758,
,ZINC64580599,-3.756,-37.493,-3.874,
,ZINC64580599,-3.756,-37.493,-3.874,
,ZINC06623323,-3.751,-36.331,-3.764,
,ZINC16990696,-3.751,-48.406,-3.751,
,ZINC16990696,-3.751,-48.406,-3.751,
,ZINC01121731,-3.751,-39.779,-3.751,
,ZINC16923695,-3.747,-41.136,-3.748,
,ZINC00816437,-3.742,-43.336,-3.768,
,ZINC72005552,-3.737,-50.869,-3.741,
,ZINC15437189,-3.733,-49.773,-3.924,
,ZINC71808286,-3.733,-44.504,-3.733,
,ZINC07357406,-3.73,-43.578,-3.828,
,ZINC89726708,-3.728,-43.05,-3.735,
,ZINC06316004,-3.726,-37.153,-3.74,
,ZINC13704177,-3.726,-43.807,-3.726,
,ZINC13704177,-3.726,-43.807,-3.726,
,ZINC16923853,-3.724,-43.943,-3.725,
,ZINC35397513,-3.724,-37.051,-3.725,
,ZINC35397513,-3.724,-37.051,-3.725,
,ZINC35397418,-3.723,-38.942,-3.723,
,ZINC35397418,-3.723,-38.942,-3.723,
,ZINC26892204,-3.723,-48.749,-3.723,
,ZINC26892204,-3.723,-48.749,-3.723,
,ZINC26892204,-3.723,-48.749,-3.723,
,ZINC26892204,-3.723,-48.749,-3.723,
,ZINC26892204,-3.723,-48.749,-3.723,
,ZINC26892204,-3.723,-48.749,-3.723,
,ZINC43735631,-3.72,-50.251,-3.72,
,ZINC43735631,-3.72,-50.251,-3.72,
,ZINC43735631,-3.72,-50.251,-3.72,
,ZINC16923338,-3.718,-40.742,-3.719,
,ZINC90626126,-3.716,-34.628,-3.719,
,ZINC16924732,-3.706,-45.101,-3.707,
