Stars,Title,MMGBSA dG Bind,Lig Strain Energy
,ZINC89517222,-29.98,1.209453
,ZINC89517222,-29.98,1.209453
,ZINC35397444,-12.23,6.072071
,ZINC35397444,-12.23,6.072071
,ZINC35188436,-28.06,7.216851
,ZINC64580560,-31.39,4.068079
,ZINC64580560,-31.39,4.068079
,ZINC95101078,-23.49,15.141635
,ZINC95101078,-23.49,15.141635
,ZINC72937776,-36.65,3.717567
,ZINC72937776,-36.65,3.717567
,ZINC72937776,-36.65,3.717567
,ZINC92027280,-25.57,2.036301
,ZINC35397374,-23.5,5.069997
,ZINC35397374,-23.5,5.069997
,ZINC35397446,-28.74,4.049429
,ZINC35397446,-28.74,4.049429
,ZINC16925071,-24.54,6.460751
,ZINC32962199,-15.97,6.049849
,ZINC32962199,-15.97,6.049849
,ZINC13001874,-43.85,6.614919
,ZINC13001874,-43.85,6.614919
,ZINC13001874,-43.85,6.614919
,ZINC13001874,-43.85,6.614919
,ZINC68254827,-24.9,3.480918
,ZINC68254827,-24.9,3.480918
,ZINC04215263,-23.46,6.20841
,ZINC04215263,-23.46,6.20841
,ZINC04215263,-23.46,6.20841
,ZINC04215263,-23.46,6.20841
,ZINC04215263,-23.46,6.20841
,ZINC04215263,-23.46,6.20841
,ZINC04215263,-23.46,6.20841
,ZINC04215263,-23.46,6.20841
,ZINC71789555,-28.95,6.357826
,ZINC71789555,-28.95,6.357826
,ZINC71789555,-28.95,6.357826
,ZINC71789555,-28.95,6.357826
,ZINC16922937,-36.83,4.442631
,ZINC14025722,-29.61,11.595398
,ZINC84460617,-22.52,0.848684
,ZINC64843261,-22.84,5.97787
,ZINC64843261,-22.84,5.97787
,ZINC43736212,-14.23,8.215741
,ZINC43736212,-14.23,8.215741
,ZINC16923006,-22.2,5.595868
,ZINC94617434,-21.86,-1.236159
,ZINC64580588,-13.97,9.426695
,ZINC64580588,-13.97,9.426695
,ZINC35397338,-16.64,7.447206
,ZINC35397338,-16.64,7.447206
,ZINC39927087,-11.16,3.42221
,ZINC11616979,-28.33,6.277191
,ZINC11616979,-28.33,6.277191
,ZINC13735618,-35.36,2.987016
,ZINC64580599,-16.93,2.527567
,ZINC64580599,-16.93,2.527567
,ZINC06623323,-19.86,4.254393
,ZINC16990696,-25.19,12.383418
,ZINC16990696,-25.19,12.383418
,ZINC01121731,-34.56,6.166999
,ZINC16923695,-24.34,6.536563
,ZINC00816437,-30.29,3.476407
,ZINC72005552,-17.68,18.063039
,ZINC15437189,-41.17,14.507339
,ZINC71808286,-29.25,16.248084
,ZINC07357406,-28.35,3.840853
,ZINC89726708,-24.26,7.650147
,ZINC06316004,-19.04,4.047606
,ZINC13704177,-12.51,5.690529
,ZINC13704177,-12.51,5.690529
,ZINC16923853,-24.67,6.757885
,ZINC35397513,-28.79,2.845118
,ZINC35397513,-28.79,2.845118
,ZINC35397418,-18.96,7.539164
,ZINC35397418,-18.96,7.539164
,ZINC26892204,-28.1,3.679689
,ZINC26892204,-28.1,3.679689
,ZINC26892204,-28.1,3.679689
,ZINC26892204,-28.1,3.679689
,ZINC26892204,-28.1,3.679689
,ZINC26892204,-28.1,3.679689
,ZINC43735631,-27.71,5.321778
,ZINC43735631,-27.71,5.321778
,ZINC43735631,-27.71,5.321778
,ZINC16923338,-21.91,6.139426
,ZINC90626126,-34.07,3.856602
,ZINC16924732,-25.44,2.911488
,ZINC16924732,-25.44,2.911488
,ZINC12581392,-42.97,4.278241
,ZINC04574563,-17.33,7.952908
,ZINC04574563,-17.33,7.952908
,ZINC94557826,-19.41,5.145442
,ZINC94557826,-19.41,5.145442
,ZINC64491167,-18.95,2.230217
,ZINC64491167,-18.95,2.230217
,ZINC08035456,-15.75,13.849352
,ZINC08035456,-15.75,13.849352
,ZINC05516107,-17.62,3.817231
,ZINC64580569,-19.81,3.938422
,ZINC64580569,-19.81,3.938422
,ZINC32961635,-40.71,8.306827
,ZINC32961635,-40.71,8.306827
,ZINC32962192,-8.43,9.651181
,ZINC32962192,-8.43,9.651181
,ZINC32962192,-8.43,9.651181
,ZINC32962192,-8.43,9.651181
,ZINC64843259,-21.71,10.019655
,ZINC64843259,-21.71,10.019655
,ZINC94261686,-26.22,2.400413
,ZINC94261686,-26.22,2.400413
,ZINC05508707,-23.75,5.610993
,ZINC89726093,-35.69,5.858284
,ZINC89726093,-35.69,5.858284
,ZINC35397333,-22.59,5.688486
,ZINC35397333,-22.59,5.688486
,ZINC21986101,-32.37,9.287803
,ZINC21986101,-32.37,9.287803
,ZINC21986101,-32.37,9.287803
,ZINC21986101,-32.37,9.287803
,ZINC21986101,-32.37,9.287803
,ZINC21986101,-32.37,9.287803
,ZINC35397438,-16.44,9.161669
,ZINC35397438,-16.44,9.161669
,ZINC35397463,-17.32,4.738928
,ZINC35397463,-17.32,4.738928
,ZINC35397463,-17.32,4.738928
,ZINC35397463,-17.32,4.738928
,ZINC00571015,-23.84,3.593284
,ZINC16892337,-30.18,3.011192
,ZINC19923832,-32.58,3.620313
,ZINC58009358,-24.15,2.087813
,ZINC04215237,-19.15,8.852065
,ZINC04215237,-19.15,8.852065
,ZINC04215237,-19.15,8.852065
,ZINC04215237,-19.15,8.852065
,ZINC59122196,-26.86,13.334645
,ZINC59122196,-26.86,13.334645
,ZINC00287864,-18.31,9.008576
,ZINC33253638,-24.89,10.224142
,ZINC33253638,-24.89,10.224142
,ZINC78624520,-24.54,5.613586
,ZINC03616634,-14.28,3.811079
,ZINC16264885,-32.32,2.037699
,ZINC39977394,-14.78,6.807533
,ZINC08739989,-30.22,2.475602
,ZINC08739989,-30.22,2.475602
,ZINC08739989,-30.22,2.475602
,ZINC02866618,-36.43,3.280992
,ZINC02866618,-36.43,3.280992
,ZINC02866618,-36.43,3.280992
,ZINC02866618,-36.43,3.280992
,ZINC04694366,-35.67,2.248118
,ZINC35397508,-23.67,8.272772
,ZINC35397508,-23.67,8.272772
,ZINC16922910,-29.13,5.408099
,ZINC03926191,-13.29,11.634932
,ZINC03926191,-13.29,11.634932
,ZINC03926191,-13.29,11.634932
,ZINC03926191,-13.29,11.634932
,ZINC72131128,-25.66,7.0332
,ZINC72131128,-25.66,7.0332
,ZINC72131128,-25.66,7.0332
,ZINC72131128,-25.66,7.0332
,ZINC72131128,-25.66,7.0332
,ZINC72131128,-25.66,7.0332
,ZINC72131128,-25.66,7.0332
,ZINC72131128,-25.66,7.0332
,ZINC47496142,-22.69,3.841026
,ZINC41125203,-33.83,2.340527
,ZINC41125203,-33.83,2.340527
,ZINC36378487,-33.16,6.351013
,ZINC09075662,-38.35,3.641901
,ZINC04468780,-19.75,8.930128
,ZINC04468780,-19.75,8.930128
,ZINC04468780,-19.75,8.930128
,ZINC04468780,-19.75,8.930128
,ZINC04468780,-19.75,8.930128
,ZINC04468780,-19.75,8.930128
,ZINC05224074,-20.27,3.532686
,ZINC47318113,-19.49,5.004004
,ZINC47318113,-19.49,5.004004
,ZINC03830479,-24.67,5.466768
,ZINC03830479,-24.67,5.466768
,ZINC35397605,-4.09,13.329478
,ZINC35397605,-4.09,13.329478
,ZINC16923386,-30.17,2.685428
,ZINC32961641,-28.67,7.440864
,ZINC32961641,-28.67,7.440864
,ZINC80753043,-24.07,11.85023
,ZINC13464142,-25.46,1.998277
,ZINC13464142,-25.46,1.998277
,ZINC00266572,-22.2,5.194296
,ZINC16924111,-19.28,3.667265
,ZINC08695386,-17.16,6.597898
,ZINC35397655,-22.66,4.21664
,ZINC35397655,-22.66,4.21664
,ZINC04742774,-23.62,1.845352
,ZINC04742774,-23.62,1.845352
,ZINC77285478,-27.45,9.08009
,ZINC77285478,-27.45,9.08009
,ZINC77180402,-24.28,5.87988
,ZINC03013937,-20.55,1.37735
,ZINC64580583,-18.57,1.853045
,ZINC64580583,-18.57,1.853045
,ZINC64580585,-20.08,3.531429
,ZINC64580585,-20.08,3.531429
,ZINC04635883,-7.08,3.07391
,ZINC03855841,-20.79,1.383536
,ZINC05223872,-22.82,6.372429
,ZINC05223872,-22.82,6.372429
,ZINC05223872,-22.82,6.372429
,ZINC05223872,-22.82,6.372429
,ZINC02497174,-10.2,4.154084
,ZINC02497174,-10.2,4.154084
,ZINC85288787,-39.39,4.793573
,ZINC16923325,-24.97,2.564439
,ZINC00073691,-11.98,4.921375
,ZINC50638516,-38.33,8.360213
,ZINC50638516,-38.33,8.360213
,ZINC50638516,-38.33,8.360213
,ZINC50638516,-38.33,8.360213
,ZINC35397383,-16.59,8.747162
,ZINC35397383,-16.59,8.747162
,ZINC33253634,-7.43,10.635896
,ZINC33253634,-7.43,10.635896
,ZINC94554478,-21.39,3.022791
,ZINC06720895,-30.45,5.762854
,ZINC19795769,-18.59,6.620711
,ZINC19795769,-18.59,6.620711
,ZINC03830264,-18.59,6.620687
,ZINC03830264,-18.59,6.620687
