Stars,Title,MMGBSA dG Bind,Lig Strain Energy
,ZINC91244516,-18.09,11.222868
,ZINC91244516,-18.09,11.222868
,ZINC84341083,-23.93,8.749128
,ZINC91338287,-34.14,4.78746
,ZINC21084199,-44.68,5.643842
,ZINC91345254,-36.62,4.45983
,ZINC91249039,-30.93,7.427998
,ZINC66931542,-22.11,8.752589
,ZINC91345066,-26.35,7.80756
,ZINC75583967,-32.12,4.733916
,ZINC91250340,-28.15,7.79035
,ZINC91337797,-33.81,3.381148
,ZINC91337797,-33.81,3.381148
,ZINC63832131,-42.78,5.327689
,ZINC63832131,-42.78,5.327689
,ZINC63832131,-42.78,5.327689
,ZINC89322655,-34.11,6.874967
,ZINC89322655,-34.11,6.874967
,ZINC63279801,-41.23,6.166694
,ZINC91407887,-29.91,7.745678
,ZINC87360558,-30.68,2.983433
,ZINC91333769,-36.51,6.087201
,ZINC91333769,-36.51,6.087201
,ZINC19566540,-34.42,7.718981
,ZINC93351952,-24.8,6.12194
,ZINC93351952,-24.8,6.12194
,ZINC91441306,-36.35,15.030356
,ZINC91441306,-36.35,15.030356
,ZINC91441306,-36.35,15.030356
,ZINC91441306,-36.35,15.030356
,ZINC94949034,-33.99,2.197572
,ZINC93352236,-40.61,5.388926
,ZINC93352236,-40.61,5.388926
,ZINC09635045,-37.34,1.194572
,ZINC95471985,-25.88,4.093261
,ZINC93352208,-19.54,8.172525
,ZINC93352208,-19.54,8.172525
,ZINC93352066,-33.43,8.701543
,ZINC93352066,-33.43,8.701543
,ZINC74059150,-23.67,9.840971
,ZINC74059150,-23.67,9.840971
,ZINC95417769,-31.02,2.894702
,ZINC05613351,-29.72,6.198661
,ZINC91307085,-39.91,4.70409
,ZINC63386584,-38.49,5.316628
,ZINC63386584,-38.49,5.316628
,ZINC35454583,-24.1,10.915353
,ZINC89806786,-37.68,3.596902
,ZINC01758455,-25.74,1.44588
,ZINC95367318,-34.28,5.089646
,ZINC91338031,-36.28,3.840042
,ZINC91337468,-34.59,1.891246
,ZINC93352711,-27.6,3.578697
,ZINC93352711,-27.6,3.578697
,ZINC91338029,-37.11,4.08041
,ZINC91338029,-37.11,4.08041
,ZINC04954881,-18.41,5.940896
,ZINC04954881,-18.41,5.940896
,ZINC91341452,-38.74,3.717923
,ZINC91341452,-38.74,3.717923
,ZINC91341452,-38.74,3.717923
,ZINC91341452,-38.74,3.717923
,ZINC74059148,-27.28,5.291125
,ZINC91346861,-33.5,2.101199
,ZINC91346861,-33.5,2.101199
,ZINC91367275,-34.17,5.932027
,ZINC91345813,-35.24,2.878214
,ZINC91337152,-33.18,5.103982
,ZINC91337152,-33.18,5.103982
,ZINC91348087,-31.53,3.580963
,ZINC12786908,-42.63,-2.030974
,ZINC77628948,-23.28,10.335189
,ZINC91313063,-31.24,5.832829
,ZINC91341608,-33.98,3.481451
,ZINC91375881,-31.92,2.204636
,ZINC91376093,-32.02,3.865342
,ZINC89882191,-21.23,11.881652
,ZINC35186937,-18.8,5.364773
,ZINC91344538,-35.15,4.052343
,ZINC89400135,-17.84,7.829789
,ZINC91350041,-35.56,1.392186
,ZINC91345714,-34.92,3.808448
,ZINC91345714,-34.92,3.808448
,ZINC89461401,-20.16,5.945751
,ZINC39796058,-26.79,4.092626
,ZINC72161165,-17.03,5.029561
,ZINC20089589,-34.54,3.313656
,ZINC61622368,-17.46,10.320709
,ZINC91346967,-38.07,5.541933
,ZINC91345602,-31.37,3.977392
,ZINC75159571,-25.97,7.371435
,ZINC91690909,-28.69,2.577943
,ZINC91346355,-26.47,6.861559
,ZINC95354328,-32.58,0.802137
,ZINC91371583,-32.66,2.900198
,ZINC91371583,-32.66,2.900198
,ZINC93352035,-31.33,5.583471
,ZINC93352035,-31.33,5.583471
,ZINC91337792,-31.33,4.498579
,ZINC91244517,-33.12,8.710277
,ZINC91284194,-39.85,4.024254
,ZINC91284194,-39.85,4.024254
,ZINC89962159,-33.37,12.546032
,ZINC82971041,-17.49,6.782083
,ZINC91347217,-32.64,2.202451
,ZINC91313069,-37.49,2.447301
,ZINC94949035,-31.7,5.25925
,ZINC63328748,-36.59,0.563144
,ZINC93352067,-31.94,4.165937
,ZINC93352067,-31.94,4.165937
,ZINC93351917,-30.71,3.201447
,ZINC91344698,-28.41,3.114235
,ZINC63376407,-24.44,3.383512
,ZINC91307084,-38.4,3.908648
,ZINC91307084,-38.4,3.908648
,ZINC91307084,-38.4,3.908648
,ZINC91307084,-38.4,3.908648
,ZINC91333942,-38.62,3.744316
,ZINC91333942,-38.62,3.744316
,ZINC91333942,-38.62,3.744316
,ZINC91333942,-38.62,3.744316
,ZINC91333942,-38.62,3.744316
,ZINC91333942,-38.62,3.744316
,ZINC91347219,-26.9,3.337736
,ZINC91347219,-26.9,3.337736
,ZINC93088194,-22.93,2.809522
,ZINC93351749,-29.35,8.013562
,ZINC91344699,-34.27,4.86829
,ZINC91234414,-37.41,6.186856
,ZINC91234414,-37.41,6.186856
,ZINC91400259,-25.49,8.230754
,ZINC91400259,-25.49,8.230754
,ZINC91371584,-28.19,5.866379
,ZINC91371584,-28.19,5.866379
,ZINC91371584,-28.19,5.866379
,ZINC91371584,-28.19,5.866379
,ZINC21083939,-35.56,10.050437
,ZINC63493929,-27.55,2.898984
,ZINC63493929,-27.55,2.898984
,ZINC91348089,-28.46,5.246029
,ZINC91348089,-28.46,5.246029
,ZINC94957540,-34.45,2.182118
,ZINC91343940,-24.31,8.67425
,ZINC91170899,-35.93,5.669265
,ZINC93351644,-20.82,5.229923
,ZINC93352032,-27.24,3.776666
,ZINC93352032,-27.24,3.776666
,ZINC93352032,-27.24,3.776666
,ZINC93352032,-27.24,3.776666
,ZINC09235830,-35.7,3.375836
,ZINC92153226,-24.71,3.030617
,ZINC91335902,-38.26,3.355183
,ZINC91335902,-38.26,3.355183
,ZINC91215877,-34.03,3.016781
,ZINC91215877,-34.03,3.016781
,ZINC91215877,-34.03,3.016781
,ZINC91400257,-29.79,3.633909
,ZINC91344793,-25.15,3.351738
,ZINC75210877,-26.95,5.122205
,ZINC91372028,-30.18,6.641701
,ZINC91242695,-32.27,3.849359
,ZINC93352209,-26.31,8.483188
,ZINC91307170,-39.71,3.639504
,ZINC91307170,-39.71,3.639504
,ZINC91307170,-39.71,3.639504
,ZINC91307170,-39.71,3.639504
,ZINC91307170,-39.71,3.639504
,ZINC91307170,-39.71,3.639504
,ZINC91281812,-24.41,7.717923
,ZINC91281812,-24.41,7.717923
,ZINC78304417,-22.19,3.634275
,ZINC69423167,-37.06,4.179478
,ZINC69423167,-37.06,4.179478
,ZINC93351597,-23.28,5.582925
,ZINC00067135,-38.68,3.064063
,ZINC89343975,-32.26,4.444713
,ZINC89343975,-32.26,4.444713
,ZINC72144381,-29.68,6.531408
,ZINC91348084,-34.5,4.749989
,ZINC91234415,-34.84,5.143761
,ZINC91234415,-34.84,5.143761
,ZINC91234415,-34.84,5.143761
,ZINC91338141,-32.69,3.547923
,ZINC93351261,-21.53,5.806034
,ZINC93351261,-21.53,5.806034
,ZINC93351261,-21.53,5.806034
,ZINC19344094,-35.31,1.784576
,ZINC19344094,-35.31,1.784576
,ZINC95370394,-26.09,7.096621
,ZINC91235904,-29.42,4.830541
,ZINC91370497,-35.62,3.925802
,ZINC91371585,-33,1.622135
,ZINC91345067,-30.6,1.878568
,ZINC91345067,-30.6,1.878568
,ZINC93352956,-22.85,5.250073
,ZINC73937520,-23.19,9.519876
,ZINC73937520,-23.19,9.519876
,ZINC91344794,-37.18,2.396963
,ZINC91344794,-37.18,2.396963
,ZINC91374614,-31.72,5.379264
,ZINC91401492,-34.9,10.571497
,ZINC77628944,-30.32,2.220001
,ZINC91186987,-23.05,4.935573
,ZINC91186987,-23.05,4.935573
,ZINC35454571,-16.9,17.79794
,ZINC91401545,-31.87,7.743992
,ZINC01758455,-24.33,3.365214
,ZINC91306580,-39.07,3.494964
,ZINC91306580,-39.07,3.494964
,ZINC91314166,-38.23,4.20419
,ZINC91304516,-35.55,3.854714
,ZINC91304516,-35.55,3.854714
,ZINC91399201,-24.77,3.601766
,ZINC72281232,-35.57,3.599685
,ZINC39735407,-16.36,4.21757
,ZINC39735407,-16.36,4.21757
,ZINC91374585,-30.68,9.629757
,ZINC91374585,-30.68,9.629757
,ZINC39735405,-21.92,3.166414
,ZINC39735405,-21.92,3.166414
,ZINC89928925,-22.7,4.928365
,ZINC05613351,-29.08,6.417544
,ZINC93351639,-25.67,2.609461
,ZINC95434318,-32.44,4.388657
,ZINC89921046,-14.47,14.741268
